Voyage_ID,Departure Port,Arrival Port,Sail Date,Sail Time,Ship Code,Customer Number,SeqNo,Booking Status,Reserved Meter,Meters_To_Remove,Accumulated_Removed_Meter,Recommendation_Rank,NoShow_Rate,Booking_Reliability_Score,Meter_Utilization_Rate,Risk_Category,Deferral_Candidate_Score
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C01017,124,Loaded,14.1,2529.8,14.1,1,0.7692307692307693,0.2307692307692307,0.1945689427893487,High Risk,0.7764708268267457
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00128,23,Loaded,14.5,2529.8,28.6,2,0.7647058823529411,0.2352941176470588,0.219908727895037,High Risk,0.7677829603033455
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00638,35,Loaded,15.6,2529.8,44.2,3,0.7435897435897436,0.2564102564102564,0.2072423398328691,High Risk,0.7534233269052211
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00638,102,Loaded,13.4,2529.8,57.6,4,0.7435897435897436,0.2564102564102564,0.2072423398328691,High Risk,0.7534233269052211
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00638,112,Loaded,9.5,2529.8,67.1,5,0.7435897435897436,0.2564102564102564,0.2072423398328691,High Risk,0.7534233269052211
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00949,134,Loaded,15.2,2529.8,82.3,6,0.7435897435897436,0.2564102564102564,0.239446612273856,High Risk,0.7469824724170236
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00058,134,Booked,21.5,2529.8,103.8,7,0.7419354838709677,0.2580645161290322,0.2519572953736655,High Risk,0.743156928022041
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00002,131,Loaded,24.5,2529.8,128.3,8,0.7391304347826086,0.2608695652173913,0.2408923126303964,High Risk,0.7431258853000076
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00357,147,Loaded,17.8,2529.8,146.10000000000002,9,0.7297297297297297,0.2702702702702703,0.2279792746113989,High Risk,0.7381879288615041
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00921,50,Loaded,14.2,2529.8,160.3,10,0.71875,0.28125,0.2662857142857143,High Risk,0.7217428571428571
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00907,84,Loaded,10.4,2529.8,170.70000000000002,11,0.717391304347826,0.2826086956521739,0.2876971608832807,High Risk,0.7163736113016047
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00201,16,Loaded,14.1,2529.8,184.8,12,0.7058823529411765,0.2941176470588235,0.2779843040066088,High Risk,0.7091090215516194
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00201,113,Loaded,11.7,2529.8,196.5,13,0.7058823529411765,0.2941176470588235,0.2779843040066088,High Risk,0.7091090215516194
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C01032,145,Loaded,9.6,2529.8,206.1,14,0.7045454545454546,0.2954545454545454,0.2820393615372695,High Risk,0.7072284913289099
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00656,15,Loaded,11.2,2529.8,217.29999999999998,15,0.6888888888888889,0.3111111111111111,0.2865236051502146,High Risk,0.6938063900810683
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00453,19,Loaded,22.4,2529.8,239.7,16,0.696969696969697,0.303030303030303,0.32421875,High Risk,0.6927320075757576
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00524,94,Loaded,17.2,2529.8,256.9,17,0.6842105263157895,0.3157894736842105,0.2824074074074074,High Risk,0.6908869395711501
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00802,86,Loaded,16.6,2529.8,273.5,18,0.6862745098039216,0.3137254901960784,0.2920594115966866,High Risk,0.6906077255238
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00748,4,Loaded,10.3,2529.8,283.8,19,0.6842105263157895,0.3157894736842105,0.2982118823303211,High Risk,0.6877260445865674
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00210,29,Loaded,13.9,2529.8,297.7,20,0.675,0.325,0.2887632251003283,High Risk,0.6822473549799344
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00743,53,Loaded,15.7,2529.8,313.4,21,0.6666666666666666,0.3333333333333333,0.3003809523809523,High Risk,0.6732571428571429
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C01038,147,Booked,4.0,2529.8,317.4,22,0.6744186046511628,0.3255813953488372,0.359720176730486,High Risk,0.667590848374833
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00380,111,Loaded,16.1,2529.8,333.5,23,0.65625,0.34375,0.3267813267813268,High Risk,0.6596437346437347
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00705,164,Loaded,12.2,2529.8,345.7,24,0.6341463414634146,0.3658536585365853,0.3239070090215128,High Risk,0.6425356713664292
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00705,38,Loaded,10.0,2529.8,355.7,25,0.6341463414634146,0.3658536585365853,0.3239070090215128,High Risk,0.6425356713664292
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00427,32,Loaded,12.6,2529.8,368.3,26,0.627906976744186,0.3720930232558139,0.3834543370271303,High Risk,0.6256347139899229
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00782,79,Loaded,7.9,2529.8,376.2,27,0.6153846153846154,0.3846153846153846,0.3460227272727272,High Risk,0.6231031468531469
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00782,95,Checked In,15.4,2529.8,391.59999999999997,28,0.6153846153846154,0.3846153846153846,0.3460227272727272,High Risk,0.6231031468531469
