Voyage_ID,Departure Port,Arrival Port,Sail Date,Sail Time,Ship Code,Customer Number,SeqNo,Booking Status,Reserved Meter,Meters_To_Remove,Accumulated_Removed_Meter,Recommendation_Rank,Risk_Category,NoShow_Rate,Booking_Reliability_Score,Deferral_Candidate_Score,NoShow_Probability,Smart_Deferral_Score
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00002,131,Loaded,24.5,2529.8,24.5,1,High Risk,0.7391304347826086,0.2608695652173913,0.7431258853000076,0.5760024427017124,0.6428518197410305
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C01038,147,Booked,4.0,2529.8,28.5,2,High Risk,0.6744186046511628,0.3255813953488372,0.667590848374833,0.5901648150330224,0.6211352283697467
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00743,53,Loaded,15.7,2529.8,44.2,3,High Risk,0.6666666666666666,0.3333333333333333,0.6732571428571429,0.5767002234346382,0.6153229912036401
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00201,113,Loaded,11.7,2529.8,55.900000000000006,4,High Risk,0.7058823529411765,0.2941176470588235,0.7091090215516194,0.5051569895011093,0.5867378023213133
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00201,16,Loaded,14.1,2529.8,70.0,5,High Risk,0.7058823529411765,0.2941176470588235,0.7091090215516194,0.5030353995776897,0.5854648483672615
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C01032,145,Loaded,9.6,2529.8,79.6,6,High Risk,0.7045454545454546,0.2954545454545454,0.7072284913289099,0.4891604875603656,0.5763876890677833
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00949,134,Loaded,15.2,2529.8,94.8,7,High Risk,0.7435897435897436,0.2564102564102564,0.7469824724170236,0.45158450477960393,0.5697436918345717
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00782,79,Loaded,7.9,2529.8,102.7,8,High Risk,0.6153846153846154,0.3846153846153846,0.6231031468531469,0.5268386921515907,0.5653444740322132
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00427,32,Loaded,12.6,2529.8,115.3,9,High Risk,0.627906976744186,0.3720930232558139,0.6256347139899229,0.5224226008422516,0.5637074461013201
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00782,95,Checked In,15.4,2529.8,130.7,10,High Risk,0.6153846153846154,0.3846153846153846,0.6231031468531469,0.5220876216059862,0.5624938317048505
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C01017,124,Loaded,14.1,2529.8,144.79999999999998,11,High Risk,0.7692307692307693,0.2307692307692307,0.7764708268267457,0.4186210369747515,0.5617609529155492
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00128,23,Loaded,14.5,2529.8,159.29999999999998,12,High Risk,0.7647058823529411,0.2352941176470588,0.7677829603033455,0.41359701664835213,0.5552713941103495
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00907,84,Loaded,10.4,2529.8,169.7,13,High Risk,0.717391304347826,0.2826086956521739,0.7163736113016047,0.44573438902712575,0.5539900779369173
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00152,73,Checked In,6.6,2529.8,176.29999999999998,14,High Risk,0.6190476190476191,0.3809523809523809,0.6226611098248052,0.4995763095599937,0.5488102296659183
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00981,11,Loaded,14.5,2529.8,190.79999999999998,15,High Risk,0.6176470588235294,0.3823529411764705,0.6225859397417504,0.48812715582483923,0.5419106693916037
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00660,80,Loaded,14.5,2529.8,205.29999999999998,16,High Risk,0.6097560975609756,0.3902439024390244,0.6105270796106994,0.49150126396955635,0.5391115902260135
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00921,50,Loaded,14.2,2529.8,219.49999999999997,17,High Risk,0.71875,0.28125,0.7217428571428571,0.40298555609760767,0.5304884765157074
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00790,72,Booked,10.9,2529.8,230.39999999999998,18,High Risk,0.5384615384615384,0.4615384615384615,0.5309981443103471,0.5169586761804613,0.5225744634324156
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00729,58,Loaded,12.5,2529.8,242.89999999999998,19,High Risk,0.5510204081632653,0.4489795918367347,0.5537053417359554,0.4930832115061456,0.5173320635980695
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00638,35,Loaded,15.6,2529.8,258.5,20,High Risk,0.7435897435897436,0.2564102564102564,0.7534233269052211,0.35570002941797957,0.5147893484128762
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00638,102,Loaded,13.4,2529.8,271.9,21,High Risk,0.7435897435897436,0.2564102564102564,0.7534233269052211,0.35289399813836964,0.5131057296451103
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00261,170,Loaded,14.8,2529.8,286.7,22,Medium Risk,0.4864864864864865,0.5135135135135135,0.4850148264259827,0.5307527109066431,0.5124575571143789
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00638,112,Loaded,9.5,2529.8,296.2,23,High Risk,0.7435897435897436,0.2564102564102564,0.7534233269052211,0.346883888356682,0.5094996637760976
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00745,150,Booked,18.1,2529.8,314.3,24,High Risk,0.5277777777777778,0.4722222222222222,0.5306485400367663,0.4892745989272022,0.5058241753710279
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00251,90,Loaded,15.3,2529.8,329.6,25,High Risk,0.5483870967741935,0.4516129032258064,0.545927108195569,0.47330592186516734,0.502354396397328
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00058,134,Booked,21.5,2529.8,351.1,26,High Risk,0.7419354838709677,0.2580645161290322,0.743156928022041,0.3381609510079113,0.5001593418135633
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C01113,32,Loaded,22.0,2529.8,373.1,27,High Risk,0.5675675675675675,0.4324324324324324,0.5718846915421606,0.446901901488452,0.4968950175099354
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00795,129,Loaded,17.5,2529.8,390.6,28,High Risk,0.5294117647058824,0.4705882352941176,0.5317274803901425,0.4704476239462037,0.49495956652377926
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00357,147,Loaded,17.8,2529.8,408.40000000000003,29,High Risk,0.7297297297297297,0.2702702702702703,0.7381879288615041,0.33115367013998515,0.4939673736285927
Rostock_Trelleborg_2024-02-19_22:00_SHIP_03,Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,C00380,111,Loaded,16.1,2529.8,424.50000000000006,30,High Risk,0.65625,0.34375,0.6596437346437347,0.37549860110589756,0.4891566545210324
