Customer Number,total_bookings,reserved_meter,loaded_meter,reliability_score
C00001,41,528.1,417.6,0.790759325885249
C00002,51,708.3,150.1,0.2119158548637583
C00003,48,677.9,477.3,0.704086148399469
C00004,40,556.5,460.9,0.8282120395327942
C00005,50,672.1,433.8,0.6454396667162624
C00006,48,683.7,467.6,0.6839256984057335
C00007,48,661.4,506.1,0.7651950408224978
C00008,47,700.6,518.5,0.7400799314872966
C00009,53,752.6,426.5,0.5667020993887856
C00010,50,747.8,453.6,0.6065792992778819
C00011,51,718.0,480.6,0.6693593314763232
C00012,51,712.3,459.4,0.6449529692545276
C00013,52,723.6,517.8,0.7155887230514095
C00014,33,477.8,284.0,0.594390958560067
C00015,55,751.7,353.2,0.46986829852334705
C00016,60,776.8,449.1,0.5781410916580845
C00017,55,792.2,430.1,0.5429184549356223
C00018,54,736.8,482.5,0.6548588490770901
C00019,58,769.3,357.6,0.46483816456518917
C00020,56,759.5,611.3,0.8048716260697827
C00021,54,751.4,134.7,0.1792653713068938
C00022,44,570.6,383.6,0.6722747984577637
C00023,57,824.2,596.5,0.7237321038582868
C00024,42,569.1,375.2,0.6592865928659286
C00025,53,734.3,186.7,0.25425575377910936
C00026,53,690.3,516.3,0.74793568013907
C00027,45,608.8,429.3,0.7051576872536137
C00028,63,877.3,634.9,0.7236977088795167
C00029,49,687.9,302.4,0.43959877889228083
C00030,53,775.6,419.1,0.5403558535327488
C00031,48,664.8,433.1,0.6514741275571602
C00032,47,680.5,377.1,0.5541513592946363
C00033,52,730.4,276.3,0.3782858707557503
C00034,55,770.9,609.4,0.7905046050071345
C00035,45,602.8,376.8,0.6250829462508295
C00036,48,695.9,400.9,0.5760885184652967
C00037,51,721.2,360.0,0.4991680532445923
C00038,46,619.6,521.0,0.8408650742414461
C00039,42,577.2,336.7,0.5833333333333333
C00040,59,804.0,333.8,0.41517412935323383
C00041,49,653.4,417.1,0.6383532292623202
C00042,48,640.6,338.3,0.5280986575085856
C00043,52,758.9,637.2,0.8396363157201213
C00044,34,503.6,375.4,0.7454328832406671
C00045,46,605.4,141.4,0.23356458539808392
C00046,48,722.1,363.3,0.5031159119235563
C00047,36,539.3,276.7,0.5130725013906916
C00048,47,688.9,387.6,0.5626360865147337
C00049,55,778.9,298.1,0.38271921941199133
C00050,57,763.0,146.7,0.19226736566186106
