Sailing ID,Departure Port,Arrival Port,Sail Date,Sail Time,Ship Code,Total Meter,Total Head
S000001,Klaipeda,Rostock,2024-10-14,22:00,SHIP_06,2100,230
S000002,Rostock,Trelleborg,2025-10-03,06:00,SHIP_02,2000,220
S000003,Swinoujscie,Trelleborg,2024-02-04,10:00,SHIP_03,2200,250
S000004,Rostock,Trelleborg,2025-04-18,08:00,SHIP_04,2400,280
S000005,Travemünde,Klaipeda,2024-02-07,14:00,SHIP_03,2200,250
S000006,Trelleborg,Rostock,2025-05-31,18:00,SHIP_03,2200,250
S000007,Trelleborg,Travemünde,2025-03-13,22:00,SHIP_08,2300,260
S000008,Rostock,Trelleborg,2024-04-12,14:00,SHIP_04,2400,280
S000009,Trelleborg,Swinoujscie,2024-05-21,22:00,SHIP_06,2100,230
S000010,Rostock,Trelleborg,2025-07-28,10:00,SHIP_03,2200,250
S000011,Rostock,Klaipeda,2024-11-30,06:00,SHIP_06,2100,230
S000012,Rostock,Trelleborg,2025-07-24,08:00,SHIP_03,2200,250
S000013,Trelleborg,Travemünde,2025-10-30,14:00,SHIP_07,1900,200
S000014,Trelleborg,Swinoujscie,2025-03-15,06:00,SHIP_08,2300,260
S000015,Travemünde,Klaipeda,2025-03-15,08:00,SHIP_06,2100,230
S000016,Rostock,Trelleborg,2024-06-30,22:00,SHIP_03,2200,250
S000017,Rostock,Trelleborg,2024-12-20,06:00,SHIP_03,2200,250
S000018,Trelleborg,Swinoujscie,2025-03-03,14:00,SHIP_07,1900,200
S000019,Klaipeda,Rostock,2024-04-19,18:00,SHIP_06,2100,230
S000020,Klaipeda,Rostock,2024-04-07,14:00,SHIP_05,2600,300
S000021,Trelleborg,Rostock,2025-07-11,22:00,SHIP_01,1800,180
S000022,Swinoujscie,Trelleborg,2025-09-05,06:00,SHIP_06,2100,230
S000023,Travemünde,Trelleborg,2025-02-14,08:00,SHIP_06,2100,230
S000024,Klaipeda,Rostock,2025-10-28,18:00,SHIP_04,2400,280
S000025,Trelleborg,Travemünde,2025-11-18,10:00,SHIP_05,2600,300
S000026,Klaipeda,Travemünde,2025-12-25,10:00,SHIP_08,2300,260
S000027,Rostock,Klaipeda,2025-08-22,06:00,SHIP_05,2600,300
S000028,Swinoujscie,Trelleborg,2024-11-09,06:00,SHIP_07,1900,200
S000029,Klaipeda,Travemünde,2025-05-16,14:00,SHIP_07,1900,200
S000030,Klaipeda,Rostock,2024-04-18,06:00,SHIP_06,2100,230
S000031,Rostock,Klaipeda,2024-05-22,18:00,SHIP_02,2000,220
S000032,Trelleborg,Travemünde,2024-01-03,18:00,SHIP_01,1800,180
S000033,Trelleborg,Swinoujscie,2024-06-23,14:00,SHIP_07,1900,200
S000034,Travemünde,Klaipeda,2024-02-08,14:00,SHIP_04,2400,280
S000035,Klaipeda,Travemünde,2025-11-11,18:00,SHIP_08,2300,260
S000036,Swinoujscie,Trelleborg,2024-02-13,08:00,SHIP_02,2000,220
S000037,Swinoujscie,Trelleborg,2024-01-31,06:00,SHIP_03,2200,250
S000038,Trelleborg,Rostock,2025-11-07,14:00,SHIP_02,2000,220
S000039,Klaipeda,Travemünde,2025-02-02,10:00,SHIP_03,2200,250
S000040,Klaipeda,Rostock,2025-05-25,10:00,SHIP_08,2300,260
S000041,Travemünde,Klaipeda,2025-08-06,08:00,SHIP_08,2300,260
S000042,Rostock,Trelleborg,2025-08-20,06:00,SHIP_08,2300,260
S000043,Swinoujscie,Trelleborg,2024-02-17,06:00,SHIP_01,1800,180
S000044,Klaipeda,Travemünde,2025-06-15,06:00,SHIP_02,2000,220
S000045,Trelleborg,Travemünde,2024-07-19,18:00,SHIP_03,2200,250
S000046,Rostock,Trelleborg,2024-12-06,22:00,SHIP_07,1900,200
S000047,Trelleborg,Rostock,2025-06-25,08:00,SHIP_06,2100,230
S000048,Swinoujscie,Trelleborg,2024-03-16,18:00,SHIP_06,2100,230
S000049,Rostock,Trelleborg,2025-04-07,08:00,SHIP_04,2400,280
S000050,Swinoujscie,Trelleborg,2025-02-23,18:00,SHIP_05,2600,300
S000051,Klaipeda,Rostock,2025-03-28,18:00,SHIP_08,2300,260
S000052,Swinoujscie,Trelleborg,2025-06-01,22:00,SHIP_03,2200,250
S000053,Trelleborg,Swinoujscie,2025-03-14,18:00,SHIP_06,2100,230
S000054,Trelleborg,Swinoujscie,2024-11-20,10:00,SHIP_02,2000,220
S000055,Klaipeda,Travemünde,2024-06-27,14:00,SHIP_05,2600,300
S000056,Klaipeda,Rostock,2024-06-07,10:00,SHIP_05,2600,300
S000057,Trelleborg,Swinoujscie,2024-07-19,22:00,SHIP_08,2300,260
S000058,Travemünde,Klaipeda,2025-11-25,22:00,SHIP_07,1900,200
S000059,Klaipeda,Travemünde,2024-08-28,22:00,SHIP_04,2400,280
S000060,Trelleborg,Rostock,2025-04-22,08:00,SHIP_07,1900,200
S000061,Trelleborg,Travemünde,2025-09-05,10:00,SHIP_05,2600,300
S000062,Trelleborg,Travemünde,2024-01-11,18:00,SHIP_05,2600,300
S000063,Swinoujscie,Trelleborg,2024-09-03,18:00,SHIP_08,2300,260
S000064,Klaipeda,Rostock,2025-03-22,14:00,SHIP_04,2400,280
S000065,Rostock,Trelleborg,2025-07-23,18:00,SHIP_02,2000,220
S000066,Trelleborg,Travemünde,2024-12-22,14:00,SHIP_07,1900,200
S000067,Rostock,Trelleborg,2024-02-04,10:00,SHIP_03,2200,250
S000068,Swinoujscie,Trelleborg,2024-03-02,18:00,SHIP_08,2300,260
S000069,Travemünde,Trelleborg,2025-02-18,18:00,SHIP_07,1900,200
S000070,Rostock,Trelleborg,2025-01-12,14:00,SHIP_08,2300,260
S000071,Trelleborg,Swinoujscie,2024-10-29,08:00,SHIP_07,1900,200
S000072,Klaipeda,Rostock,2024-04-09,18:00,SHIP_01,1800,180
S000073,Klaipeda,Travemünde,2024-02-07,14:00,SHIP_07,1900,200
S000074,Trelleborg,Rostock,2025-03-28,06:00,SHIP_05,2600,300
S000075,Rostock,Klaipeda,2025-02-02,06:00,SHIP_06,2100,230
S000076,Travemünde,Klaipeda,2024-02-21,18:00,SHIP_07,1900,200
S000077,Klaipeda,Rostock,2025-05-26,06:00,SHIP_06,2100,230
S000078,Swinoujscie,Trelleborg,2025-11-07,10:00,SHIP_03,2200,250
S000079,Travemünde,Klaipeda,2024-08-21,08:00,SHIP_04,2400,280
S000080,Trelleborg,Travemünde,2024-02-15,14:00,SHIP_03,2200,250
S000081,Swinoujscie,Trelleborg,2025-07-30,10:00,SHIP_07,1900,200
S000082,Rostock,Klaipeda,2024-10-11,22:00,SHIP_04,2400,280
S000083,Trelleborg,Swinoujscie,2025-07-29,10:00,SHIP_03,2200,250
S000084,Trelleborg,Swinoujscie,2024-06-12,18:00,SHIP_06,2100,230
S000085,Swinoujscie,Trelleborg,2025-10-30,14:00,SHIP_03,2200,250
S000086,Trelleborg,Travemünde,2025-01-01,22:00,SHIP_01,1800,180
S000087,Rostock,Klaipeda,2024-09-29,10:00,SHIP_04,2400,280
S000088,Rostock,Klaipeda,2024-08-02,18:00,SHIP_06,2100,230
S000089,Klaipeda,Travemünde,2024-08-11,18:00,SHIP_07,1900,200
S000090,Trelleborg,Rostock,2025-05-03,14:00,SHIP_03,2200,250
S000091,Rostock,Klaipeda,2025-04-23,22:00,SHIP_03,2200,250
S000092,Trelleborg,Travemünde,2025-11-13,14:00,SHIP_03,2200,250
S000093,Trelleborg,Rostock,2024-04-27,06:00,SHIP_08,2300,260
S000094,Swinoujscie,Trelleborg,2025-09-15,18:00,SHIP_08,2300,260
S000095,Trelleborg,Swinoujscie,2024-03-19,08:00,SHIP_02,2000,220
S000096,Travemünde,Trelleborg,2024-11-07,06:00,SHIP_07,1900,200
S000097,Rostock,Klaipeda,2025-11-19,22:00,SHIP_08,2300,260
S000098,Trelleborg,Swinoujscie,2024-10-01,14:00,SHIP_07,1900,200
S000099,Trelleborg,Travemünde,2024-05-30,22:00,SHIP_05,2600,300
S000100,Trelleborg,Travemünde,2025-06-08,08:00,SHIP_06,2100,230
S000101,Klaipeda,Rostock,2024-02-09,10:00,SHIP_07,1900,200
S000102,Travemünde,Klaipeda,2024-04-26,08:00,SHIP_04,2400,280
S000103,Klaipeda,Rostock,2024-04-05,18:00,SHIP_08,2300,260
S000104,Trelleborg,Swinoujscie,2025-02-27,10:00,SHIP_08,2300,260
S000105,Rostock,Trelleborg,2024-01-01,22:00,SHIP_03,2200,250
S000106,Travemünde,Klaipeda,2025-11-19,22:00,SHIP_02,2000,220
S000107,Trelleborg,Rostock,2025-12-03,08:00,SHIP_01,1800,180
S000108,Swinoujscie,Trelleborg,2024-11-20,14:00,SHIP_02,2000,220
S000109,Trelleborg,Travemünde,2025-05-15,08:00,SHIP_06,2100,230
S000110,Trelleborg,Swinoujscie,2024-07-05,14:00,SHIP_03,2200,250
S000111,Klaipeda,Travemünde,2024-07-04,14:00,SHIP_01,1800,180
S000112,Klaipeda,Rostock,2024-07-06,14:00,SHIP_05,2600,300
S000113,Travemünde,Trelleborg,2024-01-01,06:00,SHIP_08,2300,260
S000114,Klaipeda,Rostock,2024-09-03,18:00,SHIP_02,2000,220
S000115,Trelleborg,Travemünde,2024-10-08,06:00,SHIP_03,2200,250
S000116,Swinoujscie,Trelleborg,2024-02-29,18:00,SHIP_04,2400,280
S000117,Klaipeda,Travemünde,2024-02-17,06:00,SHIP_04,2400,280
S000118,Trelleborg,Travemünde,2024-03-04,18:00,SHIP_06,2100,230
S000119,Rostock,Klaipeda,2024-03-09,14:00,SHIP_07,1900,200
S000120,Klaipeda,Travemünde,2025-03-17,14:00,SHIP_04,2400,280
S000121,Klaipeda,Travemünde,2024-04-20,22:00,SHIP_04,2400,280
S000122,Trelleborg,Travemünde,2025-04-17,18:00,SHIP_07,1900,200
S000123,Rostock,Klaipeda,2024-12-18,18:00,SHIP_08,2300,260
S000124,Rostock,Klaipeda,2024-04-07,06:00,SHIP_02,2000,220
S000125,Swinoujscie,Trelleborg,2024-10-09,14:00,SHIP_08,2300,260
S000126,Trelleborg,Rostock,2024-03-04,18:00,SHIP_01,1800,180
S000127,Trelleborg,Travemünde,2024-04-17,14:00,SHIP_07,1900,200
S000128,Rostock,Klaipeda,2024-12-08,18:00,SHIP_03,2200,250
S000129,Swinoujscie,Trelleborg,2025-04-17,18:00,SHIP_07,1900,200
S000130,Trelleborg,Rostock,2025-05-30,06:00,SHIP_04,2400,280
S000131,Trelleborg,Rostock,2024-12-03,08:00,SHIP_05,2600,300
S000132,Rostock,Klaipeda,2024-11-10,22:00,SHIP_06,2100,230
S000133,Klaipeda,Rostock,2025-11-06,14:00,SHIP_03,2200,250
S000134,Travemünde,Klaipeda,2025-07-03,06:00,SHIP_03,2200,250
S000135,Klaipeda,Travemünde,2024-07-16,18:00,SHIP_03,2200,250
S000136,Trelleborg,Rostock,2025-05-21,10:00,SHIP_02,2000,220
S000137,Travemünde,Trelleborg,2024-04-19,06:00,SHIP_01,1800,180
